Include,,Category,Name,Link,Summary,StandardStatus,IEStatus,IEPrefixed,IEUnprefixed,MSDN,WebPlatDocs,Demo,ID,ChromeStatus,FFStatus,OperaStatus,SafariStatus
TRUE,,JavaScript,Destructuring,http://wiki.ecmascript.org/doku.php?id=harmony:specification_drafts,"Destructuring assignment allows extracting data from arrays or objects using a syntax that mirrors array and object literals.

",Editor's draft,Under Consideration,,,,,,@4588790303686656,,,,
TRUE,,JavaScript,Rest parameters,http://wiki.ecmascript.org/doku.php?id=harmony:specification_drafts,Allows representation of an indefinite number of arguments as an array.,Editor's draft,Under Consideration,,,,,,@5937087912083456,,,,
TRUE,,Device,Ambient Light Events,http://www.w3.org/TR/ambient-light/,"Ambient Light Event API which is a handy way to make a web page or web app aware of any change in light intensity.
",Working draft or equivalent,Under Consideration,,,,,,@5298357018820608,,,,
TRUE,,Device,Battery Status API,https://dvcs.w3.org/hg/dap/raw-file/default/battery/Overview.html,Allows access to see the battery level of the device's battery,Working draft or equivalent,Under Consideration,,,,http://docs.webplatform.org/wiki/apis/battery_status,,@4537134732017664,,,,
TRUE,,Realtime / Communication,Push API,https://dvcs.w3.org/hg/push/raw-file/tip/index.html,Provides webapps with scripted access to server-sent notifications.,Working draft or equivalent,Under Consideration,,,,,,@5416033485586432,,,,
TRUE,,Security,Subresource Integrity,http://w3c.github.io/webappsec/specs/subresourceintegrity/,"Subresource Integrity defines a mechanism by which user agents may verify that a fetched resource has been delivered without unexpected manipulation. In a nutshell, metadata inlined into HTML elements allows the browser to determine whether the resource that was downloaded matches the resource the page's author expected to download.",Working draft or equivalent,Under Consideration,,,,,,@6183089948590080,,,,
FALSE,Jatinder,Device,canvasResolution,http://www.whatwg.org/specs/web-apps/current-work/multipage/the-canvas-element.html#dom-screen-canvasresolution,Provide css to device pixel ratio through window.screen.canvasResolution,Working draft or equivalent,,,,,,,@6015428115562496,,,,
FALSE,,CSS,Blending of elements - obsolete entry,https://dvcs.w3.org/hg/FXTF/rawfile/tip/compositing/index.html,Offers more ways to combine HTML elements.,Working draft or equivalent,,,,,,,@6736157987569664,,,,
TRUE,,CSS,CSS Intrinsic Sizing,http://dev.w3.org/csswg/css3-sizing/,"Extends the CSS sizing properties with keywords that represent content-based ""intrinsic"" sizes and context-based ""extrinsic"" sizes, allowing CSS to more easily describe boxes that fit their content or fit into a particular layout context.",Working draft or equivalent,Under Consideration,,,,,,@5901353784180736,,,,
TRUE,Greg,CSS,CSS font-stretch,http://dev.w3.org/csswg/css-fonts/#propdef-font-stretch,Add support the the CSS font-stretch property.,Working draft or equivalent,Shipped,,9,http://msdn.microsoft.com/en-us/library/ie/jj127324(v=vs.85).aspx,,,@4598830058176512,,,,
TRUE,,Graphics,Canvas2D text decoration,http://www.w3.org/html/wg/drafts/2dcontext/html5_canvas/#textmetrics,"Add a textDecoration attribute to canvas 2D contexts, behavior similar to existing ""font"" attribute: It's a DOMString, parsed the same way as corresponding CSS property (text-decoration).",Editor's draft,Under Consideration,,,,,,@5663034638860288,,,,
FALSE,,File APIs,File constructor,http://dev.w3.org/2006/webapi/FileAPI/#file,"A programmatic method of constructing File objects, very similar to how Blob objects are built.",Editor's draft,,,,,,,@5731244088229888,,,,
TRUE,,JavaScript,JS iterators (i.e. the for-of feature),http://wiki.ecmascript.org/doku.php?id=harmony:specification_drafts,"Iterates over iterable objects (including arrays, array-like objects, iterators and generators), invoking a custom iteration hook with statements to be executed for the value of each distinct property.",Editor's draft,Under Consideration,,,,http://docs.webplatform.org/wiki/concepts/programming/javascript/iterators,,@4696563918045184,,,,
TRUE,,Performance,Navigation Error Logging,https://dvcs.w3.org/hg/webperf/raw-file/tip/specs/NavigationErrorLogging/Overview.html,"This specification defines an interface to store and retrieve error data related to the previous navigations of a document.
",Editor's draft,Under Consideration,,,,,,@5391249376804864,,,,
TRUE,,CSS,Shapes,http://dev.w3.org/csswg/css-shapes/,Define arbitrary shapes inside and around which inline content can flow.,Working draft or equivalent,Under Consideration,,,,,,@5163890719588352,,,,
TRUE,,JavaScript,Symbols aka private names,http://wiki.ecmascript.org/doku.php?id=strawman:private_names,"Allows properties to be added to existing objects without the possibility of interference with the existing properties, unintended visibility, or with other uncoordinated additions by any other code.",Editor's draft,Under Consideration,,,,,,@6042091272536064,,,,
TRUE,,Graphics,WebGL Shared Resources,http://www.khronos.org/registry/webgl/extensions/WEBGL_shared_resources/,Allow sharing resources between 2 or more WebGL contexts,Established standard,Under Consideration,,,,,,@5486563022602240,,,,
FALSE,,Multimedia,WebVTT Regions,http://dev.w3.org/html5/webvtt/,"The WebVTT regions functionality has been recently added to the WebVTT specification. The feature consists of the following web-exposed changes:
*) Public API for creating region objects from script.
*) Advanced positioning and display functionality for subtitles and captions such that FCC requirements are fulfilled.
*) Additional CSS pseudo-element for styling regions.",Editor's draft,,,,,,,@4993513661923328,,,,
FALSE,,DOM,beforescriptexecute and afterscriptexecute events,http://www.w3.org/html/wg/drafts/html/master/scripting-1.html#execute-the-script-block,The beforescriptexecute and afterscriptexecute events allows web pages and extension developers to monitor the insertion of <script> tags in a web page and prevent the script from executing.,Established standard,,,,,,,@5711871906676736,,,,
TRUE,,User input,inputmode,http://www.w3.org/html/wg/drafts/html/master/forms.html#attr-fe-inputmode,The inputmode content attribute is an enumerated attribute that specifies what kind of input mechanism would be most helpful for users entering content into the form control.,Editor's draft,Under Consideration,,,,,,@6225984592281600,,,,
FALSE,Greg,CSS,overflow-anchor,http://lists.w3.org/Archives/Public/www-style/2012Jun/0347.html,Stick the visible view of an element to the bottom/top even as new content expands its size.,Public discussion,,,,,,,@5865619656278016,,,,
FALSE,Greg,CSS,CSS Font Loading,http://dev.w3.org/csswg/css-font-load-events-3/#fontloader-interface,A feature that enables applications to know if a web font is really loaded.,Editor's draft,,,,,,,@6244676289953792,,,,
TRUE,,JavaScript,Object.observe(),http://wiki.ecmascript.org/doku.php?id=harmony:observe,Observe changes to JS objects.,Working draft or equivalent,Under Consideration,,,,,,@6147094632988672,,,,
TRUE,,Web Components,Shadow DOM (unprefixed),http://dvcs.w3.org/hg/webcomponents/raw-file/tip/spec/shadow/index.html,"Enables DOM tree encapsulation. Without it, widgets may inadvertently break pages by using conflicting CSS selectors, class or id names, or JavaScript variables.

",Working draft or equivalent,Under Consideration,,,,,,@4507242028072960,,,,
TRUE,,Multimedia,Web Audio API (unprefixed),https://dvcs.w3.org/hg/audio/raw-file/tip/webaudio/specification.html,A high-level JavaScript API for processing and synthesizing audio in web applications,Working draft or equivalent,Under Consideration,,,,http://docs.webplatform.org/wiki/apis/webaudio,,@6261718720184320,,,,
